time,open,high,low,close,volume
2025-01-06 07:00:00,11.6,11.6,11.6,11.5,4
2025-01-07 07:00:00,13.3,13.3,13.3,13.3,100
2025-01-08 07:00:00,13.3,13.3,13.3,13.3,1
2025-01-09 07:00:00,15.2,15.2,13.3,13.3,412
2025-01-13 07:00:00,14.2,14.2,14.2,13.3,3
2025-01-15 07:00:00,16.0,16.0,14.0,16.0,504
2025-01-16 07:00:00,15.6,17.9,15.6,17.9,400
2025-01-17 07:00:00,16.8,18.0,14.3,18.0,1242
2025-01-20 07:00:00,18.0,18.0,18.0,18.0,109
2025-01-21 07:00:00,18.0,18.0,18.0,18.0,20
2025-01-23 07:00:00,17.9,17.9,17.9,17.9,100
2025-02-03 07:00:00,17.9,17.9,17.9,17.9,13
2025-02-05 07:00:00,18.0,18.0,17.8,17.8,300
2025-02-06 07:00:00,17.9,17.9,17.9,17.8,3
2025-02-07 07:00:00,17.9,17.9,17.9,17.8,55
2025-02-10 07:00:00,18.0,18.0,17.9,17.9,200
2025-02-11 07:00:00,17.0,17.0,17.0,17.0,104
2025-02-12 07:00:00,17.9,17.9,17.9,17.9,110
2025-02-14 07:00:00,17.9,17.9,17.9,17.9,5
2025-02-18 07:00:00,18.0,18.0,17.0,18.0,1606
2025-02-19 07:00:00,17.0,17.0,17.0,17.0,1000
2025-02-20 07:00:00,17.0,17.0,14.6,14.6,1516
2025-02-21 07:00:00,13.9,14.1,13.9,14.1,410
2025-02-24 07:00:00,15.0,16.2,15.0,16.2,2109
2025-02-25 07:00:00,18.3,18.3,18.2,18.2,3600
2025-02-26 07:00:00,18.3,18.3,17.5,17.5,2304
2025-02-27 07:00:00,18.5,18.5,18.5,18.5,226
2025-02-28 07:00:00,18.3,18.3,18.3,18.3,100
2025-03-03 07:00:00,18.3,18.3,18.3,18.3,26
2025-03-05 07:00:00,18.3,18.3,18.3,18.3,4
2025-03-06 07:00:00,18.3,18.3,18.3,18.3,1540
2025-03-07 07:00:00,15.6,15.6,15.6,15.6,1004
2025-03-10 07:00:00,14.0,17.9,14.0,14.3,412
2025-03-11 07:00:00,18.1,18.1,13.6,18.0,1890
